X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V
116.75	0.892695	0	0.00155362	116.75	0.931014	0	0.00240592	30.5	0.901839	0	0.00524119	30.5	0.894375	0	0.00945094	29.75	0.919629	0	0.0077176	30.75	0.924514	0	0.00825458
120.75	0.892538	0	0.00155221	120.75	0.931344	0	0.00240158	31.5	0.902037	0	0.00523799	31.5	0.894398	0	0.00945278	30.75	0.91968	0	0.00773046	31.75	0.924509	0	0.0082307
124.75	0.892426	0	0.0015505	124.75	0.93171	0	0.00239676	32.5	0.902228	0	0.00523489	32.5	0.894426	0	0.00945451	31.75	0.919741	0	0.00774214	32.75	0.924505	0	0.00820809
128.75	0.892362	0	0.00154848	128.75	0.932112	0	0.00239147	33.5	0.902412	0	0.00523185	33.5	0.894459	0	0.00945614	32.75	0.91981	0	0.00775256	33.75	0.924505	0	0.00818668
132.75	0.892345	0	0.00154614	132.75	0.932549	0	0.00238569	34.5	0.90259	0	0.00522884	34.5	0.8945	0	0.00945762	33.75	0.919888	0	0.00776171	34.75	0.924511	0	0.00816627
136.75	0.892378	0	0.00154348	136.75	0.933022	0	0.00237944	35.5	0.902764	0	0.00522583	35.5	0.894549	0	0.00945895	34.75	0.919975	0	0.00776951	35.75	0.924523	0	0.00814683
140.75	0.89246	0	0.00154048	140.75	0.933529	0	0.00237268	36.5	0.902935	0	0.00522281	36.5	0.894607	0	0.0094601	35.75	0.92007	0	0.00777595	36.75	0.924544	0	0.00812812
144.75	0.892591	0	0.00153716	144.75	0.934071	0	0.00236543	37.5	0.903103	0	0.00521975	37.5	0.894676	0	0.0094611	36.75	0.920175	0	0.00778103	37.75	0.924575	0	0.0081102
148.75	0.892772	0	0.0015335	148.75	0.934646	0	0.00235767	38.5	0.90327	0	0.00521662	38.5	0.894755	0	0.00946189	37.75	0.920287	0	0.00778481	38.75	0.924617	0	0.00809289
152.75	0.893001	0	0.00152951	152.75	0.935254	0	0.00234943	39.5	0.903437	0	0.0052134	39.5	0.894846	0	0.0094625	38.75	0.920408	0	0.00778728	39.75	0.92467	0	0.00807623
156.75	0.893279	0	0.00152518	156.75	0.935893	0	0.00234069	40.5	0.903604	0	0.0052101	40.5	0.894948	0	0.00946289	39.75	0.920536	0	0.00778852	40.75	0.924735	0	0.00806015
160.75	0.893605	0	0.00152053	160.75	0.936561	0	0.00233146	41.5	0.903773	0	0.00520669	41.5	0.895064	0	0.00946304	40.75	0.920671	0	0.00778859	41.75	0.924813	0	0.00804468
164.75	0.893977	0	0.00151555	164.75	0.937257	0	0.00232174	42.5	0.903943	0	0.00520317	42.5	0.895193	0	0.00946294	41.75	0.920813	0	0.00778765	42.75	0.924904	0	0.0080299
168.75	0.894394	0	0.00151026	168.75	0.937978	0	0.00231154	43.5	0.904116	0	0.00519955	43.5	0.895335	0	0.00946257	42.75	0.920959	0	0.00778571	43.75	0.925009	0	0.0080158
172.75	0.894854	0	0.00150466	172.75	0.938725	0	0.00230088	44.5	0.904291	0	0.00519581	44.5	0.895491	0	0.00946194	43.75	0.92111	0	0.00778302	44.75	0.925126	0	0.00800246
176.75	0.895357	0	0.00149876	176.75	0.939493	0	0.00228975	45.5	0.904468	0	0.00519197	45.5	0.89566	0	0.009461	44.75	0.921265	0	0.00777966	45.75	0.925255	0	0.00798998
180.75	0.895898	0	0.00149258	180.75	0.940282	0	0.00227818	46.5	0.904648	0	0.00518804	46.5	0.895841	0	0.00945975	45.75	0.921423	0	0.00777589	46.75	0.925396	0	0.0079786
184.75	0.896477	0	0.00148613	184.75	0.941089	0	0.00226617	47.5	0.904831	0	0.00518405	47.5	0.896036	0	0.00945816	46.75	0.921583	0	0.0077718	47.75	0.925548	0	0.00796823
188.75	0.897091	0	0.00147942	188.75	0.941912	0	0.00225375	48.5	0.905015	0	0.00517998	48.5	0.896244	0	0.0094562	47.75	0.921743	0	0.00776759	48.75	0.925709	0	0.00795919
192.75	0.897738	0	0.00147247	192.75	0.94275	0	0.00224093	49.5	0.905201	0	0.00517588	49.5	0.896464	0	0.00945386	48.75	0.921904	0	0.00776341	49.75	0.925878	0	0.00795153
196.75	0.898415	0	0.0014653	196.75	0.943599	0	0.00222774	50.5	0.905387	0	0.00517177	50.5	0.896695	0	0.00945112	49.75	0.922063	0	0.00775949	50.75	0.926054	0	0.00794545
200.75	0.89912	0	0.00145793	200.75	0.944458	0	0.00221418	51.5	0.905574	0	0.00516766	51.5	0.896939	0	0.00944796	50.75	0.92222	0	0.00775599	51.75	0.926234	0	0.00794105
204.75	0.89985	0	0.00145038	204.75	0.945325	0	0.0022003	52.5	0.90576	0	0.00516357	52.5	0.897192	0	0.00944436	51.75	0.922375	0	0.0077531	52.75	0.926418	0	0.00793847
208.75	0.900602	0	0.00144267	208.75	0.946197	0	0.00218612	53.5	0.905945	0	0.00515953	53.5	0.897456	0	0.00944028	52.75	0.922525	0	0.00775092	53.75	0.926604	0	0.00793773
212.75	0.901373	0	0.00143483	212.75	0.947074	0	0.00217166	54.5	0.906128	0	0.00515558	54.5	0.89773	0	0.00943573	53.75	0.922671	0	0.00774964	54.75	0.92679	0	0.0079389
