X_Result	Y_Result	ErrorXhigh_Result	ErrorXlow_Result	ErrorYhigh_Result	ErrorYlow_Result	X_Uncertainty	Y_ExpStat	Y_SimStat	Y_BkgSys	Y_CutEffSys	Y_FanoSys	Y_NeutronXsecSys
2.03092	0.0881654	0.003305	0.003305	0.0114769	0.0124338	2.03092	0.00448805	0.00461202	0.00756622	0.00787786	0.00854709	0.0126246
2.03754	0.0883339	0.003305	0.003305	0.0114962	0.0124533	2.03754	0.0044923	0.00461584	0.00758705	0.00789913	0.00856792	0.0126435
2.04415	0.0885023	0.003305	0.003305	0.0115156	0.0124727	2.04415	0.0044966	0.00461971	0.00760793	0.00792046	0.0085888	0.0126625
2.05077	0.0886707	0.003305	0.003305	0.0115349	0.0124923	2.05077	0.00450095	0.00462363	0.00762886	0.00794184	0.00860972	0.0126815
2.05739	0.0888391	0.003305	0.003305	0.0115544	0.0125118	2.05739	0.00450535	0.0046276	0.00764985	0.00796327	0.0086307	0.0127006
2.064	0.0890074	0.003305	0.003305	0.0115739	0.0125315	2.064	0.0045098	0.00463163	0.00767088	0.00798476	0.00865173	0.0127197
2.07062	0.0891757	0.003305	0.003305	0.0115935	0.0125512	2.07062	0.00451429	0.0046357	0.00769197	0.0080063	0.00867282	0.0127388
2.07724	0.089344	0.003305	0.003305	0.0116131	0.0125709	2.07724	0.00451884	0.00463983	0.00771311	0.00802789	0.00869395	0.0127581
2.08385	0.0895122	0.003305	0.003305	0.0116328	0.0125907	2.08385	0.00452343	0.00464401	0.0077343	0.00804954	0.00871513	0.0127773
2.09047	0.0896804	0.003305	0.003305	0.0116526	0.0126105	2.09047	0.00452807	0.00464823	0.00775554	0.00807123	0.00873636	0.0127967
2.09709	0.0898485	0.003305	0.003305	0.0116724	0.0126304	2.09709	0.00453276	0.00465251	0.00777682	0.00809298	0.00875764	0.0128161
2.1037	0.0900166	0.003305	0.003305	0.0116923	0.0126504	2.1037	0.0045375	0.00465684	0.00779816	0.00811478	0.00877897	0.0128355
2.11032	0.0901847	0.003305	0.003305	0.0117122	0.0126704	2.11032	0.00454229	0.00466121	0.00781955	0.00813663	0.00880034	0.012855
2.11694	0.0903528	0.003305	0.003305	0.0117322	0.0126904	2.11694	0.00454713	0.00466564	0.00784098	0.00815853	0.00882177	0.0128745
2.12355	0.0905208	0.003305	0.003305	0.0117522	0.0127106	2.12355	0.00455201	0.00467012	0.00786246	0.00818047	0.00884324	0.0128941
2.13017	0.0906887	0.003305	0.003305	0.0117723	0.0127307	2.13017	0.00455694	0.00467464	0.00788399	0.00820247	0.00886475	0.0129138
2.13679	0.0908566	0.003305	0.003305	0.0117925	0.0127509	2.13679	0.00456192	0.00467922	0.00790557	0.00822452	0.00888632	0.0129335
2.1434	0.0910245	0.003305	0.003305	0.0118127	0.0127712	2.1434	0.00456695	0.00468385	0.00792719	0.00824661	0.00890793	0.0129533
2.15002	0.0911924	0.003305	0.003305	0.0118329	0.0127915	2.15002	0.00457203	0.00468852	0.00794886	0.00826875	0.00892959	0.0129731
2.15664	0.0913602	0.003305	0.003305	0.0118533	0.0128119	2.15664	0.00457715	0.00469325	0.00797057	0.00829094	0.00895129	0.0129929
2.16325	0.091528	0.003305	0.003305	0.0118736	0.0128323	2.16325	0.00458232	0.00469802	0.00799233	0.00831318	0.00897304	0.0130128
2.16987	0.0916958	0.003305	0.003305	0.0118941	0.0128527	2.16987	0.00458754	0.00470285	0.00801414	0.00833546	0.00899484	0.0130328
2.17649	0.0918635	0.003305	0.003305	0.0119146	0.0128733	2.17649	0.0045928	0.00470772	0.00803599	0.00835779	0.00901667	0.0130528
2.1831	0.0920312	0.003305	0.003305	0.0119351	0.0128938	2.1831	0.00459812	0.00471265	0.00805788	0.00838017	0.00903856	0.0130729
2.18972	0.0921988	0.003305	0.003305	0.0119557	0.0129144	2.18972	0.00460347	0.00471762	0.00807982	0.00840258	0.00906048	0.013093
2.19634	0.0923664	0.003305	0.003305	0.0119764	0.0129351	2.19634	0.00460888	0.00472264	0.0081018	0.00842505	0.00908245	0.0131131
2.20295	0.092534	0.003305	0.003305	0.0119971	0.0129558	2.20295	0.00461433	0.00472771	0.00812382	0.00844756	0.00910447	0.0131333
2.20957	0.0927015	0.003305	0.003305	0.0120178	0.0129766	2.20957	0.00461983	0.00473283	0.00814589	0.00847011	0.00912652	0.0131536
2.21619	0.092869	0.003305	0.003305	0.0120386	0.0129974	2.21619	0.00462538	0.00473799	0.008168	0.00849271	0.00914862	0.0131739
2.2228	0.0930365	0.003305	0.003305	0.0120595	0.0130182	2.2228	0.00463097	0.00474321	0.00819015	0.00851535	0.00917076	0.0131943
2.22942	0.0932039	0.003305	0.003305	0.0120804	0.0130391	2.22942	0.00463661	0.00474847	0.00821234	0.00853804	0.00919295	0.0132147
2.23604	0.0933713	0.003305	0.003305	0.0121014	0.0130601	2.23604	0.0046423	0.00475378	0.00823457	0.00856076	0.00921517	0.0132351
2.24265	0.0935387	0.003305	0.003305	0.0121224	0.0130811	2.24265	0.00464803	0.00475914	0.00825684	0.00858353	0.00923743	0.0132557
2.24927	0.093706	0.003305	0.003305	0.0121435	0.0131021	2.24927	0.0046538	0.00476455	0.00827916	0.00860634	0.00925974	0.0132762
2.25589	0.0938733	0.003305	0.003305	0.0121646	0.0131232	2.25589	0.00465963	0.00477001	0.00830151	0.0086292	0.00928209	0.0132968
2.2625	0.0940406	0.003305	0.003305	0.0121858	0.0131444	2.2625	0.0046655	0.00477551	0.00832391	0.00865209	0.00930447	0.0133175
2.26912	0.0942078	0.003305	0.003305	0.0122071	0.0131656	2.26912	0.00467141	0.00478106	0.00834634	0.00867503	0.0093269	0.0133382
2.27574	0.094375	0.003305	0.003305	0.0122283	0.0131868	2.27574	0.00467737	0.00478666	0.00836881	0.008698	0.00934936	0.0133589
2.28235	0.0945422	0.003305	0.003305	0.0122497	0.0132081	2.28235	0.00468337	0.00479231	0.00839132	0.00872102	0.00937187	0.0133797
2.28897	0.0947093	0.003305	0.003305	0.0122711	0.0132294	2.28897	0.00468942	0.004798	0.00841387	0.00874407	0.00939441	0.0134006
2.29559	0.0948764	0.003305	0.003305	0.0122925	0.0132508	2.29559	0.00469551	0.00480374	0.00843645	0.00876717	0.009417	0.0134215
2.3022	0.0950435	0.003305	0.003305	0.012314	0.0132722	2.3022	0.00470165	0.00480952	0.00845908	0.0087903	0.00943962	0.0134424
2.30882	0.0952105	0.003305	0.003305	0.0123355	0.0132937	2.30882	0.00470784	0.00481536	0.00848174	0.00881347	0.00946227	0.0134634
2.31544	0.0953775	0.003305	0.003305	0.0123571	0.0133152	2.31544	0.00471406	0.00482124	0.00850444	0.00883668	0.00948497	0.0134844
2.32205	0.0955444	0.003305	0.003305	0.0123787	0.0133367	2.32205	0.00472033	0.00482716	0.00852717	0.00885993	0.0095077	0.0135055
2.32867	0.0957114	0.003305	0.003305	0.0124004	0.0133583	2.32867	0.00472665	0.00483314	0.00854994	0.00888321	0.00953047	0.0135266
2.33529	0.0958783	0.003305	0.003305	0.0124221	0.01338	2.33529	0.00473301	0.00483916	0.00857275	0.00890654	0.00955328	0.0135478
2.3419	0.0960451	0.003305	0.003305	0.0124439	0.0134017	2.3419	0.00473941	0.00484522	0.00859559	0.0089299	0.00957612	0.013569
2.34852	0.096212	0.003305	0.003305	0.0124657	0.0134234	2.34852	0.00474586	0.00485133	0.00861846	0.00895329	0.009599	0.0135903
2.35514	0.0963788	0.003305	0.003305	0.0124876	0.0134452	2.35514	0.00475235	0.00485749	0.00864138	0.00897673	0.00962192	0.0136116
2.36175	0.0965455	0.003305	0.003305	0.0125095	0.013467	2.36175	0.00475888	0.00486369	0.00866432	0.0090002	0.00964487	0.0136329
2.36837	0.0967123	0.003305	0.003305	0.0125315	0.0134888	2.36837	0.00476546	0.00486994	0.0086873	0.0090237	0.00966785	0.0136543
2.37498	0.096879	0.003305	0.003305	0.0125535	0.0135107	2.37498	0.00477208	0.00487623	0.00871032	0.00904724	0.00969087	0.0136758
2.3816	0.0970456	0.003305	0.003305	0.0125756	0.0135327	2.3816	0.00477874	0.00488257	0.00873336	0.00907081	0.00971393	0.0136972
2.38822	0.0972123	0.003305	0.003305	0.0125977	0.0135547	2.38822	0.00478545	0.00488895	0.00875644	0.00909442	0.00973701	0.0137188
