X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70fit	Y_Sb70fit	ErrorX_Sb70fit	ErrorY_Sb70fit	X_Sb70bkg	Y_Sb70bkg	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70fit	Y_Y70fit	ErrorX_Y70fit	ErrorY_Y70fit	X_Y70bkg	Y_Y70bkg	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25fit	Y_Y25fit	ErrorX_Y25fit	ErrorY_Y25fit	X_Y25bkg	Y_Y25bkg
6.16711	385.779	0.0965398	36.6165	9.75909	267.526	0.193467	0.000039658	9.75909	239.2	50.4717	2569.28	1.21559	56.9826	10.3535	3279.24	0.199365	0.0000415389	10.3535	1860.38	30.0462	11345.9	0.710207	233.948	7.30597	14326.6	0.134233	0.0000452093	7.30597	8730.69
6.36029	364.926	0.0965398	35.6132	10.1464	262.001	0.193467	0.0000293273	10.1464	239.743	52.9178	2559.17	1.21559	56.8704	10.7526	3269.34	0.199365	0.0000398776	10.7526	1879.58	31.4742	11234.9	0.710207	232.801	7.57471	14256.3	0.134233	0.0000438644	7.57471	8767.85
6.55346	396.206	0.0965398	37.1081	10.5337	259.646	0.193467	0.0000256534	10.5337	241.793	55.364	2507.35	1.21559	56.2917	11.1517	3261	0.199365	0.0000383609	11.1517	1899.51	32.9022	11032.3	0.710207	230.692	7.84344	14182.4	0.134233	0.0000425911	7.84344	8798.41
6.74664	253.711	0.0965398	29.6946	10.9211	259.422	0.193467	0.0000175121	10.9211	245.38	57.8102	2349.38	1.21559	54.4896	11.5508	3253.13	0.199365	0.0000370282	11.5508	1919.02	34.3302	11037.1	0.710207	230.743	8.11218	14104.3	0.134233	0.0000413817	8.11218	8822.29
6.93982	291.941	0.0965398	31.8534	11.3084	261.392	0.193467	0.0000164731	11.3084	249.514	60.2564	2492.19	1.21559	56.1212	11.95	3244.62	0.199365	0.0000359086	11.95	1937	35.7582	10911.7	0.710207	229.428	8.38091	14021.4	0.134233	0.0000402221	8.38091	8839.39
7.13299	361.451	0.0965398	35.4432	11.6957	262.461	0.193467	0.0000180406	11.6957	252.971	62.7026	2437.84	1.21559	55.506	12.3491	3234.51	0.199365	0.0000350358	12.3491	1952.46	37.1863	10767	0.710207	227.901	8.64965	13933.3	0.134233	0.0000390921	8.64965	8849.77
7.32617	302.367	0.0965398	32.4172	12.083	262.579	0.193467	0.0000160656	12.083	255.121	65.1488	2564.22	1.21559	56.9265	12.7482	3222.12	0.199365	0.0000344058	12.7482	1964.71	38.6143	10795.9	0.710207	228.207	8.91839	13839.5	0.134233	0.0000379664	8.91839	8853.37
7.51935	403.157	0.0965398	37.4322	12.4703	261.97	0.193467	0.0000122863	12.4703	256.108	67.595	2445.43	1.21559	55.5923	13.1474	3207.15	0.199365	0.0000340037	13.1474	1973.45	40.0423	10342.5	0.710207	223.364	9.18712	13739.8	0.134233	0.0000368164	9.18712	8850.23
7.71252	361.451	0.0965398	35.4432	12.8577	261.177	0.193467	0.00000854555	12.8577	256.493	70.0411	2416.36	1.21559	55.2609	13.5465	3189.76	0.199365	0.0000338155	13.5465	1978.86	41.4703	10530.6	0.710207	225.386	9.45586	13634	0.134233	0.0000356156	9.45586	8840.47
7.9057	326.696	0.0965398	33.6961	13.245	260.739	0.193467	0.00000565035	13.245	256.82	72.4873	2362.02	1.21559	54.6359	13.9456	3170.45	0.199365	0.0000338044	13.9456	1981.45	42.8983	10492	0.710207	224.973	9.72459	13522	0.134233	0.0000343374	9.72459	8824.25
8.09887	305.843	0.0965398	32.603	13.6323	260.417	0.193467	0.00000485097	13.6323	257.377	74.9335	2494.71	1.21559	56.1497	14.3447	3149.99	0.199365	0.0000339272	14.3447	1982.03	44.3263	11191.5	0.710207	232.351	9.99333	13404.1	0.134233	0.0000329579	9.99333	8801.9
8.29205	354.5	0.0965398	35.1007	14.0196	260.562	0.193467	0.00000406536	14.0196	258.141	77.3797	2436.58	1.21559	55.4916	14.7439	3129.22	0.199365	0.0000341395	14.7439	1981.48	45.7543	10646.4	0.710207	226.621	10.2621	13280.8	0.134233	0.0000314628	10.2621	8774.02
8.48523	264.137	0.0965398	30.2986	14.4069	260.773	0.193467	0.00000347574	14.4069	258.843	79.8259	2351.91	1.21559	54.5189	15.143	3108.91	0.199365	0.0000343904	15.143	1980.59	47.1823	10689.8	0.710207	227.083	10.5308	13153.6	0.134233	0.000029837	10.5308	8742.07
8.6784	319.745	0.0965398	33.3357	14.7943	260.786	0.193467	0.00000316527	14.7943	259.103	82.2721	2286.19	1.21559	53.7518	15.5421	3089.66	0.199365	0.0000346274	15.5421	1980.03	48.6103	10858.6	0.710207	228.869	10.7995	13031.1	0.134233	0.0000280719	10.7995	8714.66
8.87158	340.598	0.0965398	34.4056	15.1816	260.064	0.193467	0.00000289983	15.1816	258.595	84.7183	2356.96	1.21559	54.5774	15.9413	3071.87	0.199365	0.0000347991	15.9413	1980.26	50.0383	11099.8	0.710207	231.397	11.0683	12955.7	0.134233	0.0000261642	11.0683	8734.18
9.06475	326.696	0.0965398	33.6961	15.5689	258.466	0.193467	0.00000252719	15.5689	257.215	87.1645	2303.88	1.21559	53.9594	16.3404	3055.76	0.199365	0.0000348589	16.3404	1981.53	51.4664	10945.5	0.710207	229.783	11.337	13042.5	0.134233	0.0000241274	11.337	8915.47
9.25793	295.416	0.0965398	32.0424	15.9562	256.326	0.193467	0.00000208267	15.9562	255.192	89.6106	2556.64	1.21559	56.8423	16.7395	3041.37	0.199365	0.0000347611	16.7395	1983.97	52.8944	10569.2	0.710207	225.798	11.6057	13407.9	0.134233	0.0000220021	11.6057	9375.05
9.45111	274.564	0.0965398	30.8908	16.3435	254.061	0.193467	0.00000172492	16.3435	253.006	92.0568	2477.02	1.21559	55.9502	17.1386	3028.67	0.199365	0.0000344711	17.1386	1987.6	54.3224	10752.5	0.710207	227.748	11.8745	13948.3	0.134233	0.0000198167	11.8745	10009
9.64428	271.088	0.0965398	30.6947	16.7309	252.158	0.193467	0.00000152843	16.7309	251.174	94.503	2332.95	1.21559	54.2987	17.5378	3017.61	0.199365	0.0000339682	17.5378	1992.45	55.7504	10376.2	0.710207	223.728	12.1432	14355.6	0.134233	0.000017537	12.1432	10509.1
9.83746	309.318	0.0965398	32.7877	17.1182	250.956	0.193467	0.00000141262	17.1182	250.017	96.9492	2349.38	1.21559	54.4896	17.9369	3008.11	0.199365	0.0000332324	17.9369	1998.48	57.1784	10984.1	0.710207	230.187	12.4119	14477.1	0.134233	0.000015113	12.4119	10722.7
10.0306	295.416	0.0965398	32.0424	17.5055	250.461	0.193467	0.00000133766	17.5055	249.562	99.3954	2330.42	1.21559	54.2693	18.336	3000.04	0.199365	0.0000322441	18.336	2005.62	58.6064	10853.8	0.710207	228.818	12.6807	14416.4	0.134233	0.0000125959	12.6807	10753.3
10.2238	309.318	0.0965398	32.7877	17.8928	250.513	0.193467	0.00000126573	17.8928	249.641	101.842	2326.63	1.21559	54.2251	18.7352	2993.18	0.199365	0.0000309799	18.7352	2013.72	60.0344	10969.6	0.710207	230.036	12.9494	14306.2	0.134233	0.0000102032	12.9494	10733.4
10.417	274.564	0.0965398	30.8908	18.2801	250.942	0.193467	0.00000116969	18.2801	250.084	104.288	2293.77	1.21559	53.8409	19.1343	2987.23	0.199365	0.0000294179	19.1343	2022.52	61.4624	10834.5	0.710207	228.615	13.2182	14197.1	0.134233	0.0000081372	13.2182	10713.4
10.6102	243.284	0.0965398	29.078	18.6675	251.652	0.193467	0.00000107496	18.6675	250.801	106.734	2330.42	1.21559	54.2693	19.5334	2981.76	0.199365	0.0000276196	19.5334	2031.68	62.8904	11201.1	0.710207	232.451	13.4869	14096.1	0.134233	0.00000632685	13.4869	10700.7
10.8033	260.662	0.0965398	30.0986	19.0548	252.623	0.193467	0.00000101303	19.0548	251.772	109.18	2378.45	1.21559	54.8256	19.9326	2976.26	0.199365	0.0000257126	19.9326	2040.75	64.3184	11008.2	0.710207	230.44	13.7556	14002.8	0.134233	0.00000474892	13.7556	10694.7
10.9965	323.22	0.0965398	33.5164	19.4421	253.81	0.193467	0.000000968234	19.4421	252.948	111.626	2440.37	1.21559	55.5348	20.3317	2970.3	0.199365	0.0000238094	20.3317	2049.33	65.7464	10535.4	0.710207	225.438	14.0244	13916.8	0.134233	0.00000418397	14.0244	10695.3
11.1897	291.941	0.0965398	31.8534	19.8294	255.062	0.193467	0.000000985894	19.8294	254.178	114.072	2302.62	1.21559	53.9446	20.7308	2963.51	0.199365	0.0000219239	20.7308	2057.04	67.1745	10776.6	0.710207	228.003	14.2931	13837.4	0.134233	0.00000512102	14.2931	10702
11.3829	274.564	0.0965398	30.8908	20.2167	256.141	0.193467	0.0000018966	20.2167	255.222	116.519	2339.27	1.21559	54.3722	21.1299	2955.69	0.199365	0.0000200072	21.1299	2063.64	68.6025	10921.3	0.710207	229.529	14.5618	13764.4	0.134233	0.00000616235	14.5618	10714.4
11.576	309.318	0.0965398	32.7877	20.6041	256.812	0.193467	0.00000434495	20.6041	255.836	118.965	2295.04	1.21559	53.8557	21.5291	2946.71	0.199365	0.0000180307	21.5291	2069.03	70.0305	10742.9	0.710207	227.646	14.8306	13698	0.134233	0.00000678842	14.8306	10731.7
11.7692	291.941	0.0965398	31.8534	20.9914	256.914	0.193467	0.00000357309	20.9914	255.869	121.411	2302.62	1.21559	53.9446	21.9282	2936.6	0.199365	0.0000160871	21.9282	2073.33	71.4585	10651.2	0.710207	226.673	15.0993	13638.4	0.134233	0.00000760258	15.0993	10753.2
11.9624	194.627	0.0965398	26.0082	21.3787	256.427	0.193467	0.00000347061	21.3787	255.318	123.857	2226.79	1.21559	53.0489	22.3273	2925.51	0.199365	0.0000143216	22.3273	2076.79	72.8865	10733.2	0.710207	227.544	15.368	13583	0.134233	0.00000924555	15.368	10777.8
12.1556	218.956	0.0965398	27.5858	21.766	254.309	0.193467	0.00000336743	21.766	254.309	126.303	2325.37	1.21559	54.2104	22.7265	2913.73	0.199365	0.000012826	22.7265	2079.75	74.3145	10776.6	0.710207	228.003	15.6368	13528.2	0.134233	0.0000115918	15.6368	10804.7
12.3487	260.662	0.0965398	30.0986	22.1534	253.065	0.193467	0.000000934756	22.1534	253.065	128.75	2260.91	1.21559	53.4538	23.1256	2901.67	0.199365	0.0000116007	23.1256	2082.62	75.7425	10718.7	0.710207	227.39	15.9055	13471.6	0.134233	0.0000140051	15.9055	10832.6
12.5419	267.613	0.0965398	30.4973	22.5407	251.846	0.193467	0.000000930254	22.5407	251.846	131.196	2360.75	1.21559	54.6213	23.5247	2889.72	0.199365	0.0000106114	23.5247	2085.75	77.1705	10525.8	0.710207	225.334	16.1742	13414.8	0.134233	0.000015738	16.1742	10860.7
