X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_Sb70Vmodel	Y_Sb70VCompton	Y_Sb70VEC	Y_Sb70VBkgmodel	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_Y70VModel	Y_Y70VCompton	Y_Y70VEC	Y_Y70VBkgmodel	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V	X_Y25VModel	Y_Y25VCompton	Y_Y25VEC	Y_Y25VBkgmodel
10.8177	274.747	0.152868	29.9774	3.60556	266.042	3.2789	275.776	78.3835	490.983	1.37479	13.3629	5.20651	406.638	0.000733209	381.419	44.1461	949.313	0.762657	24.9474	3.67932	759.048	0	720.459
11.1235	245.31	0.152868	28.3259	3.64418	266.066	3.64787	275.703	81.1331	498.621	1.37479	13.4664	5.24583	406.638	0.000427672	381.196	45.6715	963.736	0.762657	25.1362	3.70586	759.048	0	720.907
11.4292	310.726	0.152868	31.8798	3.6828	266.085	3.99658	275.681	83.8827	478.618	1.37479	13.1935	5.28516	406.638	0.00024552	380.98	47.1968	986.682	0.762657	25.4337	3.73241	759.048	0	721.359
11.7349	284.559	0.152868	30.508	3.72142	266.101	4.31198	275.696	86.6323	498.985	1.37479	13.4713	5.32448	406.638	0.000138725	380.77	48.7221	926.366	0.762657	24.644	3.75895	759.048	0	721.813
12.0407	225.685	0.152868	27.1693	3.76003	266.113	4.58144	275.732	89.3819	508.804	1.37479	13.6032	5.3638	406.638	0.0000771465	380.566	50.2474	974.225	0.762657	25.2726	3.78549	759.048	0	722.269
12.3464	304.184	0.152868	31.5424	3.79865	266.122	4.79364	275.775	92.1315	490.256	1.37479	13.353	5.40313	406.638	0.0000422251	380.369	51.7727	965.047	0.762657	25.1533	3.81204	759.048	0	722.728
12.6521	225.685	0.152868	27.1693	3.83727	266.129	4.93932	275.811	94.881	484.073	1.37479	13.2685	5.44245	406.638	0.0000227467	380.178	53.298	929.644	0.762657	24.6876	3.83858	759.048	0	723.189
12.9579	313.997	0.152868	32.0471	3.87589	266.134	5.01196	275.829	97.6306	486.983	1.37479	13.3083	5.48177	406.638	0.0000120603	379.993	54.8233	1012.91	0.762657	25.7694	3.86512	759.048	0	723.653
13.2636	235.497	0.152868	27.7536	3.91451	266.138	5.00825	275.817	100.38	472.072	1.37479	13.103	5.5211	406.638	0.00000629347	379.814	56.3487	936.856	0.762657	24.7832	3.89167	759.048	0	724.12
13.5694	274.747	0.152868	29.9774	3.95313	266.141	4.92836	275.763	103.13	498.985	1.37479	13.4713	5.56042	406.638	0.00000323233	379.641	57.874	951.935	0.762657	24.9818	3.91821	759.048	0	724.589
13.8751	281.289	0.152868	30.3321	3.99174	266.143	4.77592	275.66	105.879	493.529	1.37479	13.3975	5.59974	406.638	0.00000163393	379.473	59.3993	967.669	0.762657	25.1874	3.94475	759.048	0	725.06
14.1808	271.476	0.152868	29.7984	4.03036	266.144	4.55774	275.499	108.629	493.166	1.37479	13.3925	5.63906	406.638	0.000000812914	379.311	60.9246	981.437	0.762657	25.366	3.9713	759.048	0	725.533
14.4866	278.018	0.152868	30.1553	4.06898	266.145	4.28332	275.274	111.379	469.526	1.37479	13.0676	5.67839	406.638	0.00000039806	379.154	62.4499	973.57	0.762657	25.2641	3.99784	759.048	0	726.009
14.7923	281.289	0.152868	30.3321	4.1076	266.146	3.96414	274.98	114.128	499.348	1.37479	13.4762	5.71771	406.638	0.000000191843	379.002	63.9752	956.524	0.762657	25.042	4.02438	759.048	0	726.486
15.098	284.559	0.152868	30.508	4.14622	266.146	3.6129	274.612	116.878	532.444	1.37479	13.9157	5.75703	406.638	0.0000000909986	378.856	65.5005	986.682	0.762657	25.4337	4.05093	759.048	0	726.966
15.4038	251.851	0.152868	28.7011	4.18484	266.146	3.24266	274.169	119.627	471.708	1.37479	13.0979	5.79636	406.638	0.0000000424832	378.715	67.0259	1011.59	0.762657	25.7528	4.07747	759.048	0	727.448
15.7095	274.747	0.152868	29.9774	4.22345	266.146	2.86606	273.649	122.377	468.798	1.37479	13.0575	5.83568	406.638	0.0000000195206	378.579	68.5512	965.047	0.762657	25.1533	4.10401	759.048	0	727.931
16.0152	300.913	0.152868	31.3724	4.26207	266.146	2.49463	273.051	125.126	508.441	1.37479	13.5984	5.875	406.638	0.00000000882796	378.449	70.0765	959.147	0.762657	25.0763	4.13055	759.048	0	728.416
16.321	264.935	0.152868	29.4372	4.30069	266.146	2.13829	272.377	127.876	463.343	1.37479	12.9813	5.91433	406.638	0.00000000392935	378.322	71.6018	953.902	0.762657	25.0076	4.1571	759.048	0	728.904
